DirectDebitPaymentRequestID,PayrollYear,PayrollMonth,OrganisationID,LoanAgreementID,AgreementReference,Payeefirstname,payeelastname,Column2,PaymentAmount,PaymentDate,TransactionCode,ExportFileEventID,ImportFileEventID,DateCreated,LoanApplicationID,DirectDebitNotificationID,LoanApplicationPaymentScheduleID,RepaymentTypeID,RequestDate
5228,2020,1,77,10000001,520003,Jane,Zwilling,NULL,37.42,28/01/2020,01,NULL,NULL,23/01/2020,1119,NULL,8705,1,27/01/2020
5229,2020,1,72,10000002,201031,Carolyn,Zimmerman,NULL,37.42,27/01/2020,17,NULL,NULL,24/01/2020,1118,NULL,8705,2,28/01/2020
5230,2020,1,67,10000003,523000,Jane,Zabokritski,NULL,37.42,26/01/2020,18,NULL,NULL,25/01/2020,1117,NULL,8705,1,29/01/2020
5231,2020,1,62,10000004,524000,Ken,Yukish,NULL,37.42,25/01/2020,01,NULL,NULL,26/01/2020,1116,NULL,8705,2,30/01/2020
5232,2020,1,57,10000005,525000,Terri,Yu,NULL,52.00,24/01/2020,17,NULL,NULL,27/01/2020,1115,NULL,8705,1,31/01/2020
5233,2020,1,52,10000006,526000,Roberto,Young,NULL,37.40,23/01/2020,18,NULL,NULL,28/01/2020,1114,NULL,8705,2,01/02/2020
5234,2020,1,47,10000007,527000,Rob,Yalovsky,NULL,22.80,22/01/2020,01,NULL,NULL,29/01/2020,1113,NULL,8705,2,02/02/2020
5235,2020,1,42,10000008,528000,Gail,Wu,NULL,8.20,21/01/2020,17,NULL,NULL,30/01/2020,1112,NULL,8705,2,03/02/2020
5236,2020,1,37,10000009,529000,Jossef,Wright,NULL,6.40,20/01/2020,18,NULL,NULL,31/01/2020,1111,NULL,8705,2,04/02/2020
5237,2020,1,32,10000010,530000,Dylan,Word,NULL,21.00,19/01/2020,01,NULL,NULL,01/02/2020,1110,NULL,8705,2,05/02/2020
5238,2020,1,27,10000011,531000,Diane,Wood,NULL,35.60,18/01/2020,17,NULL,NULL,02/02/2020,1109,NULL,8705,1,06/02/2020
5239,2020,1,22,10000012,532000,Gigi,Wilson,NULL,50.20,17/01/2020,18,NULL,NULL,03/02/2020,1108,NULL,8705,2,07/02/2020
5240,2020,1,17,10000013,533000,Michael,Williams,NULL,64.80,16/01/2020,01,NULL,NULL,04/02/2020,1107,NULL,8705,2,08/02/2020
5241,2020,1,12,10000014,534000,Ovidiu,Welcker,NULL,79.40,15/01/2020,17,NULL,NULL,05/02/2020,1106,NULL,8705,1,09/02/2020
